State,Phase,Time Period,Time Period Start Date,Time Period End Date,Perc of Pop with Symptoms of Depression,Perc of Pop with Symptoms of Anxiety,Perc of Pop with Symptoms of Either,Region_Northeast,Region_South,Region_West
Alabama,1,1,2020-04-23,2020-05-05,18.6,25.6,30.3,False,True,False
Alabama,1,2,2020-05-07,2020-05-12,22.5,27.2,30.6,False,True,False
Alabama,1,3,2020-05-14,2020-05-19,19.6,20.7,25.2,False,True,False
Alabama,1,4,2020-05-21,2020-05-26,20.9,25.2,28.8,False,True,False
Alabama,1,5,2020-05-28,2020-06-02,28.4,31.6,37.5,False,True,False
Alabama,1,6,2020-06-04,2020-06-09,27.7,33.7,36.9,False,True,False
Alabama,1,7,2020-06-11,2020-06-16,26.7,33.9,38.1,False,True,False
Alabama,1,8,2020-06-18,2020-06-23,27.5,33.7,38.0,False,True,False
Alabama,1,9,2020-06-25,2020-06-30,26.5,28.7,35.9,False,True,False
Alabama,1,10,2020-07-02,2020-07-07,28.6,34.4,39.6,False,True,False
Alabama,1,11,2020-07-09,2020-07-14,30.4,34.9,40.1,False,True,False
Alabama,1,12,2020-07-16,2020-07-21,32.7,39.9,43.3,False,True,False
Alabama,2,13,2020-08-19,2020-08-31,27.7,30.6,37.2,False,True,False
Alabama,2,14,2020-09-02,2020-09-14,25.2,33.7,38.1,False,True,False
Alabama,2,15,2020-09-16,2020-09-28,28.6,30.8,37.2,False,True,False
Alabama,2,16,2020-09-30,2020-10-12,25.0,29.4,33.6,False,True,False
Alabama,2,17,2020-10-14,2020-10-26,27.7,29.9,36.0,False,True,False
Alabama,3,18,2020-10-28,2020-11-09,33.8,35.3,44.8,False,True,False
Alabama,3,19,2020-11-11,2020-11-23,31.5,40.1,43.8,False,True,False
Alabama,3,20,2020-11-25,2020-12-07,30.5,32.5,38.5,False,True,False
Alabama,3,21,2020-12-09,2020-12-21,35.1,39.1,44.0,False,True,False
Alabama,3,22,2021-01-06,2021-01-18,29.3,36.8,42.0,False,True,False
Alabama,3,23,2021-01-20,2021-02-01,32.1,36.6,43.4,False,True,False
Alabama,3,24,2021-02-03,2021-02-15,29.8,35.1,40.1,False,True,False
Alabama,3,25,2021-02-17,2021-03-01,27.6,30.0,36.5,False,True,False
Alabama,3,26,2021-03-03,2021-03-15,29.0,33.1,38.1,False,True,False
Alabama,3,27,2021-03-17,2021-03-29,24.8,29.8,34.5,False,True,False
Alabama,3.1,28,2021-04-14,2021-04-26,24.3,29.8,35.5,False,True,False
Alabama,3.1,29,2021-04-28,2021-05-10,27.3,28.1,33.3,False,True,False
Alabama,3.1,30,2021-05-12,2021-05-24,22.7,23.8,28.0,False,True,False
Alabama,3.1,31,2021-05-26,2021-06-07,21.5,27.7,31.8,False,True,False
Alabama,3.1,32,2021-06-09,2021-06-21,24.5,24.4,29.5,False,True,False
Alabama,3.1,33,2021-06-23,2021-07-05,25.3,31.0,35.9,False,True,False
Alabama,3.2,34,2021-07-21,2021-08-02,25.3,29.9,35.3,False,True,False
Alabama,3.2,35,2021-08-04,2021-08-16,21.1,26.3,29.9,False,True,False
Alabama,3.2,36,2021-08-18,2021-08-30,28.4,34.5,38.5,False,True,False
Alabama,3.2,37,2021-09-01,2021-09-13,24.4,30.7,34.2,False,True,False
Alabama,3.2,38,2021-09-15,2021-09-27,23.0,27.4,32.4,False,True,False
Alabama,3.2,39,2021-09-29,2021-10-11,24.4,28.7,34.1,False,True,False
Alabama,3.3,40,2021-12-01,2021-12-13,26.2,27.0,32.1,False,True,False
Alabama,3.3,41,2021-12-29,2022-01-10,25.9,26.7,33.9,False,True,False
Alabama,3.3,42,2022-01-26,2022-02-07,26.1,30.4,33.8,False,True,False
Alabama,3.4,43,2022-03-02,2022-03-14,26.4,26.4,33.5,False,True,False
Alabama,3.4,44,2022-03-30,2022-04-11,21.1,22.2,28.6,False,True,False
Alabama,3.4,45,2022-04-27,2022-05-09,23.1,27.4,31.0,False,True,False
Alabama,3.5,46,2022-06-01,2022-06-13,28.8,32.1,37.7,False,True,False
Alabama,3.5,47,2022-06-29,2022-07-11,28.7,30.7,37.4,False,True,False
Alabama,3.5,48,2022-07-27,2022-08-08,32.6,38.8,42.3,False,True,False
Alabama,3.6,49,2022-09-14,2022-09-26,29.7,34.6,42.7,False,True,False
Alabama,3.6,50,2022-10-05,2022-10-17,24.3,30.2,34.5,False,True,False
Alabama,3.6,51,2022-11-02,2022-11-14,28.8,32.4,39.0,False,True,False
Alabama,3.7,52,2022-12-09,2022-12-19,27.1,32.2,36.9,False,True,False
Alabama,3.7,53,2023-01-04,2023-01-16,28.3,33.0,38.2,False,True,False
Alabama,3.7,54,2023-02-01,2023-02-13,25.2,30.5,34.7,False,True,False
Alabama,3.8,55,2023-03-01,2023-03-13,27.4,34.0,38.5,False,True,False
Alabama,3.8,56,2023-03-29,2023-04-10,27.3,29.2,37.1,False,True,False
Alabama,3.8,57,2023-04-26,2023-05-08,28.8,30.6,37.9,False,True,False
Alabama,3.9,58,2023-06-07,2023-06-19,25.5,27.1,35.1,False,True,False
Alabama,3.9,59,2023-06-28,2023-07-10,27.3,29.3,36.9,False,True,False
Alabama,3.9,60,2023-07-26,2023-08-07,25.0,30.7,35.1,False,True,False
Alabama,3.10,61,2023-08-23,2023-09-04,22.1,26.3,30.4,False,True,False
Alabama,3.10,62,2023-09-20,2023-10-02,24.3,34.0,38.2,False,True,False
Alaska,1,1,2020-04-23,2020-05-05,19.2,27.7,31.5,False,False,True
Alaska,1,2,2020-05-07,2020-05-12,25.1,27.4,35.7,False,False,True
Alaska,1,3,2020-05-14,2020-05-19,23.6,26.2,32.7,False,False,True
Alaska,1,4,2020-05-21,2020-05-26,26.8,31.6,36.4,False,False,True
Alaska,1,5,2020-05-28,2020-06-02,24.4,26.1,31.6,False,False,True
Alaska,1,6,2020-06-04,2020-06-09,21.5,26.2,35.2,False,False,True
Alaska,1,7,2020-06-11,2020-06-16,23.5,33.3,36.5,False,False,True
Alaska,1,8,2020-06-18,2020-06-23,25.7,31.8,37.1,False,False,True
Alaska,1,9,2020-06-25,2020-06-30,23.8,32.5,35.3,False,False,True
Alaska,1,10,2020-07-02,2020-07-07,21.5,27.3,32.9,False,False,True
Alaska,1,11,2020-07-09,2020-07-14,27.4,35.1,39.6,False,False,True
Alaska,1,12,2020-07-16,2020-07-21,27.4,33.8,38.8,False,False,True
Alaska,2,13,2020-08-19,2020-08-31,22.2,30.5,34.8,False,False,True
Alaska,2,14,2020-09-02,2020-09-14,23.6,28.4,33.6,False,False,True
Alaska,2,15,2020-09-16,2020-09-28,25.2,29.9,35.5,False,False,True
Alaska,2,16,2020-09-30,2020-10-12,27.1,32.6,37.4,False,False,True
Alaska,2,17,2020-10-14,2020-10-26,25.7,33.0,38.5,False,False,True
Alaska,3,18,2020-10-28,2020-11-09,27.1,32.7,38.2,False,False,True
Alaska,3,19,2020-11-11,2020-11-23,30.0,40.3,44.6,False,False,True
Alaska,3,20,2020-11-25,2020-12-07,26.7,36.8,42.6,False,False,True
Alaska,3,21,2020-12-09,2020-12-21,32.0,37.7,44.1,False,False,True
Alaska,3,22,2021-01-06,2021-01-18,28.4,36.2,41.5,False,False,True
Alaska,3,23,2021-01-20,2021-02-01,30.8,37.1,43.1,False,False,True
Alaska,3,24,2021-02-03,2021-02-15,31.5,33.0,41.3,False,False,True
Alaska,3,25,2021-02-17,2021-03-01,22.0,31.9,35.6,False,False,True
Alaska,3,26,2021-03-03,2021-03-15,24.5,32.2,35.6,False,False,True
Alaska,3,27,2021-03-17,2021-03-29,26.8,30.4,37.8,False,False,True
Alaska,3.1,28,2021-04-14,2021-04-26,23.4,26.8,31.8,False,False,True
Alaska,3.1,29,2021-04-28,2021-05-10,24.4,29.7,33.8,False,False,True
Alaska,3.1,30,2021-05-12,2021-05-24,20.5,23.5,29.3,False,False,True
Alaska,3.1,31,2021-05-26,2021-06-07,17.1,23.6,26.9,False,False,True
Alaska,3.1,32,2021-06-09,2021-06-21,20.3,27.1,31.8,False,False,True
Alaska,3.1,33,2021-06-23,2021-07-05,17.9,24.4,27.4,False,False,True
Alaska,3.2,34,2021-07-21,2021-08-02,25.2,30.5,34.2,False,False,True
Alaska,3.2,35,2021-08-04,2021-08-16,20.2,23.8,28.1,False,False,True
Alaska,3.2,36,2021-08-18,2021-08-30,25.0,27.9,33.5,False,False,True
Alaska,3.2,37,2021-09-01,2021-09-13,23.9,30.0,34.3,False,False,True
Alaska,3.2,38,2021-09-15,2021-09-27,28.3,26.7,36.5,False,False,True
Alaska,3.2,39,2021-09-29,2021-10-11,28.0,32.9,38.5,False,False,True
Alaska,3.3,40,2021-12-01,2021-12-13,22.5,34.1,37.8,False,False,True
Alaska,3.3,41,2021-12-29,2022-01-10,21.6,28.6,31.9,False,False,True
Alaska,3.3,42,2022-01-26,2022-02-07,24.6,27.4,33.4,False,False,True
Alaska,3.4,43,2022-03-02,2022-03-14,22.4,28.3,32.7,False,False,True
Alaska,3.4,44,2022-03-30,2022-04-11,20.2,24.5,27.0,False,False,True
Alaska,3.4,45,2022-04-27,2022-05-09,23.8,26.1,30.9,False,False,True
Alaska,3.5,46,2022-06-01,2022-06-13,21.6,29.8,32.8,False,False,True
Alaska,3.5,47,2022-06-29,2022-07-11,20.5,26.5,31.6,False,False,True
Alaska,3.5,48,2022-07-27,2022-08-08,22.5,31.2,35.8,False,False,True
Alaska,3.6,49,2022-09-14,2022-09-26,24.4,34.4,41.0,False,False,True
Alaska,3.6,50,2022-10-05,2022-10-17,25.8,31.0,35.9,False,False,True
Alaska,3.6,51,2022-11-02,2022-11-14,28.4,30.6,37.8,False,False,True
Alaska,3.7,52,2022-12-09,2022-12-19,27.1,31.6,35.4,False,False,True
Alaska,3.7,53,2023-01-04,2023-01-16,22.3,27.2,31.6,False,False,True
Alaska,3.7,54,2023-02-01,2023-02-13,22.9,28.4,32.2,False,False,True
Alaska,3.8,55,2023-03-01,2023-03-13,24.4,26.1,33.3,False,False,True
Alaska,3.8,56,2023-03-29,2023-04-10,25.5,28.4,34.3,False,False,True
Alaska,3.8,57,2023-04-26,2023-05-08,19.2,26.2,29.1,False,False,True
Alaska,3.9,58,2023-06-07,2023-06-19,22.5,27.0,31.6,False,False,True
Alaska,3.9,59,2023-06-28,2023-07-10,18.6,20.3,26.0,False,False,True
Alaska,3.9,60,2023-07-26,2023-08-07,24.6,30.4,34.8,False,False,True
Alaska,3.10,61,2023-08-23,2023-09-04,18.3,24.0,28.1,False,False,True
Alaska,3.10,62,2023-09-20,2023-10-02,27.1,27.2,36.0,False,False,True
Arizona,1,1,2020-04-23,2020-05-05,22.4,32.3,36.4,False,False,True
Arizona,1,2,2020-05-07,2020-05-12,25.3,34.2,38.4,False,False,True
Arizona,1,3,2020-05-14,2020-05-19,20.0,29.0,32.1,False,False,True
Arizona,1,4,2020-05-21,2020-05-26,25.1,29.3,35.5,False,False,True
Arizona,1,5,2020-05-28,2020-06-02,23.9,27.9,32.6,False,False,True
Arizona,1,6,2020-06-04,2020-06-09,26.5,30.8,36.8,False,False,True
Arizona,1,7,2020-06-11,2020-06-16,25.0,25.6,33.3,False,False,True
Arizona,1,8,2020-06-18,2020-06-23,28.9,34.7,40.1,False,False,True
Arizona,1,9,2020-06-25,2020-06-30,32.7,39.7,44.1,False,False,True
Arizona,1,10,2020-07-02,2020-07-07,31.3,36.6,42.4,False,False,True
Arizona,1,11,2020-07-09,2020-07-14,33.9,39.9,44.2,False,False,True
Arizona,1,12,2020-07-16,2020-07-21,34.3,41.3,44.9,False,False,True
Arizona,2,13,2020-08-19,2020-08-31,26.4,30.4,35.1,False,False,True
Arizona,2,14,2020-09-02,2020-09-14,26.5,33.4,39.0,False,False,True
Arizona,2,15,2020-09-16,2020-09-28,28.2,34.9,39.3,False,False,True
Arizona,2,16,2020-09-30,2020-10-12,25.0,31.7,37.8,False,False,True
Arizona,2,17,2020-10-14,2020-10-26,30.8,35.1,39.8,False,False,True
Arizona,3,18,2020-10-28,2020-11-09,27.2,35.5,40.3,False,False,True
Arizona,3,19,2020-11-11,2020-11-23,28.7,39.2,43.8,False,False,True
Arizona,3,20,2020-11-25,2020-12-07,28.5,33.6,39.8,False,False,True
Arizona,3,21,2020-12-09,2020-12-21,32.7,34.7,43.5,False,False,True
Arizona,3,22,2021-01-06,2021-01-18,26.9,33.5,38.4,False,False,True
Arizona,3,23,2021-01-20,2021-02-01,29.8,36.9,40.8,False,False,True
Arizona,3,24,2021-02-03,2021-02-15,30.4,32.8,41.7,False,False,True
